"name","lng","lat","state","sector_label"
"Bryant & Stratton College-Syracuse North",-76.240182,43.189609,"NY","For-Profit"
"Bryant & Stratton College-Virginia Beach",-76.138144,36.82779,"VA","For-Profit"
"Bryant & Stratton College-Wauwatosa",-88.050983,43.043215,"WI","For-Profit"
"Bryant University",-71.539147,41.920149,"RI","Private"
"Bryn Athyn College of the New Church",-75.06093,40.131358,"PA","Private"
"Bryn Mawr College",-75.314988,40.028541,"PA","Private"
"Bucknell University",-76.886275,40.954489,"PA","Private"
"Buena Vista University",-95.208053,42.642529,"IA","Private"
"Butler University",-86.171791,39.840662,"IN","Private"
"Byzantine Catholic Seminary of Saints Cyril and Methodius",-80.015825,40.484409,"PA","Private"
"Cabarrus College of Health Sciences",-80.60119,35.438139,"NC","Private"
"Cabrini University",-75.37215,40.054565,"PA","Private"
"Cairn University-Langhorne",-74.909509,40.165809,"PA","Private"
"Caldwell University",-74.273697,40.834285,"NJ","Private"
"California Baptist University",-117.42587,33.928569,"CA","Private"
"California Christian College",-119.711208,36.75031,"CA","Private"
"California College of the Arts",-122.399941,37.76723,"CA","Private"
"California College San Diego",-117.160641,33.13817,"CA","Private"
"California College San Diego",-117.167131,32.83529,"CA","Private"
"California Institute of Advanced Management",-118.061091,34.07144,"CA","Private"
"California Institute of Integral Studies",-122.416537,37.774768,"CA","Private"
"California Institute of Technology",-118.12574,34.139275,"CA","Private"
"California Institute of the Arts",-118.567303,34.393337,"CA","Private"
"California Intercontinental University",-117.851648,33.696996,"CA","For-Profit"
"California International Business University",-117.167671,32.72017,"CA","Private"
"California Jazz Conservatory",-122.268698,37.871144,"CA","Private"
"California Lutheran University",-118.879467,34.225551,"CA","Private"
"California Miramar University",-117.118211,32.77931,"CA","For-Profit"
"California Polytechnic State University-San Luis Obispo",-120.65856,35.29889,"CA","Public"
"California State Polytechnic University-Pomona",-117.819019,34.054273,"CA","Public"
"California State University Maritime Academy",-122.231551,38.069061,"CA","Public"
"California State University-Bakersfield",-119.104711,35.350005,"CA","Public"
"California State University-Channel Islands",-119.04356,34.162949,"CA","Public"
"California State University-Chico",-121.846333,39.728003,"CA","Public"
"California State University-Dominguez Hills",-118.259316,33.86524,"CA","Public"
"California State University-East Bay",-122.058073,37.65707,"CA","Public"
"California State University-Fresno",-119.748258,36.814477,"CA","Public"
"California State University-Fullerton",-117.885349,33.883627,"CA","Public"
"California State University-Long Beach",-118.1123,33.782752,"CA","Public"
"California State University-Los Angeles",-118.168965,34.066927,"CA","Public"
"California State University-Monterey Bay",-121.799216,36.653724,"CA","Public"
"California State University-Northridge",-118.526817,34.23671,"CA","Public"
"California State University-Sacramento",-121.42194,38.55745,"CA","Public"
"California State University-San Bernardino",-117.322508,34.182987,"CA","Public"
"California State University-San Marcos",-117.158013,33.129115,"CA","Public"
"California State University-Stanislaus",-120.852511,37.52577,"CA","Public"
"California University of Management and Sciences",-117.942011,33.84201,"CA","Private"
"California University of Pennsylvania",-79.884477,40.066473,"PA","Public"
"California Western School of Law",-117.162597,32.72194,"CA","Private"
"Calumet College of Saint Joseph",-87.492987,41.670925,"IN","Private"
"Calvary University",-94.546238,38.838169,"MO","Private"
"Calvin College",-85.587548,42.929916,"MI","Private"
"Calvin Theological Seminary",-85.587354,42.92992,"MI","Private"
"Cambridge College",-71.11084,42.369193,"MA","Private"
"Cameron University",-98.434163,34.606487,"OK","Public"
"Campbell University",-78.739508,35.409333,"NC","Private"
"Campbellsville University",-85.348943,37.343342,"KY","Private"
"Canisius College",-78.851794,42.925319,"NY","Private"
"Capella University",-93.268714,44.976186,"MN","For-Profit"
"Capital University",-82.937867,39.954875,"OH","Private"
"Capitol Technology University",-76.851413,39.047047,"MD","Private"
"Cardinal Stritch University",-87.909045,43.139752,"WI","Private"
"Career Networks Institute",-117.885043,33.693904,"CA",NA
"Career Point College",-98.551321,29.49252,"TX","For-Profit"
"Careers Unlimited",-111.7314,40.274853,"UT","For-Profit"
"Caribbean University-Bayamon",-66.168171,18.383209,"PR","Private"
"Caribbean University-Carolina",-65.95765,18.38746,"PR","Private"
