"zipcode","returns","income","mean_income"
"28420",1460,55620000,38095.8904109589
"27883",1520,57895000,38088.8157894737
"28339",2820,107379000,38077.6595744681
"28635",1500,57094000,38062.6666666667
"27704",17460,664432000,38054.5246277205
"27962",2980,113354000,38038.255033557
"28617",830,31514000,37968.6746987952
"27311",1330,50474000,37950.3759398496
"27325",2580,97621000,37837.5968992248
"28669",1190,44954000,37776.4705882353
"28642",2210,83324000,37703.1674208145
"27508",830,31268000,37672.2891566265
"27573",4850,182646000,37658.9690721649
"27401",7940,298890000,37643.5768261965
"28338",1720,64722000,37629.0697674419
"28439",540,20307000,37605.5555555556
"28307",5900,221551000,37551.0169491525
"27928",820,30675000,37408.5365853659
"27888",1040,38835000,37341.3461538462
"27864",2020,75291000,37272.7722772277
"27242",780,29007000,37188.4615384615
"28781",310,11508000,37122.5806451613
"28431",2660,98714000,37110.5263157895
"28159",1350,50091000,37104.4444444444
"28708",230,8516000,37026.0869565217
"27853",190,7034000,37021.0526315789
"28463",2820,104300000,36985.8156028369
"28693",570,21012000,36863.1578947368
"28217",13250,487836000,36817.8113207547
"28905",1210,44525000,36797.520661157
"28448",380,13914000,36615.7894736842
"27891",2200,80499000,36590.4545454545
"28530",3400,124327000,36566.7647058823
"28170",4610,168236000,36493.7093275488
"27217",15830,577607000,36488.1238155401
"28622",890,32421000,36428.0898876404
"27610",30910,1119331000,36212.5849239728
"27893",16030,579878000,36174.5477230193
"27874",1770,64016000,36167.2316384181
"28578",2300,83125000,36141.3043478261
"28772",800,28911000,36138.75
"28372",5180,186596000,36022.3938223938
"28572",3100,111579000,35993.2258064516
"28643",1240,44616000,35980.6451612903
"28345",4890,175717000,35933.9468302658
"28442",610,21892000,35888.5245901639
"28073",2090,74862000,35819.1387559809
"28615",690,24705000,35804.347826087
"27209",1830,65442000,35760.6557377049
"27839",1230,43974000,35751.2195121951
"27925",1590,56816000,35733.3333333333
"27536",7110,253416000,35642.194092827
"28384",4590,163406000,35600.4357298475
"28441",1250,44411000,35528.8
"27805",1370,48620000,35489.0510948905
"27866",320,11354000,35481.25
"28363",450,15962000,35471.1111111111
"28393",850,30127000,35443.5294117647
"27922",340,12022000,35358.8235294118
"28360",4690,165170000,35217.4840085288
"28052",13770,479992000,34857.8068264343
"28351",1920,66905000,34846.3541666667
"27843",400,13877000,34692.5
"28458",2370,82070000,34628.6919831224
"27857",520,17998000,34611.5384615385
"27871",1860,64279000,34558.6021505376
"27589",2840,96997000,34153.8732394366
"28909",430,14668000,34111.6279069767
"28091",920,31216000,33930.4347826087
"27872",160,5427000,33918.75
"27840",260,8798000,33838.4615384615
"27832",1250,42246000,33796.8
"28538",940,31751000,33777.6595744681
"28398",2960,99284000,33541.8918918919
"27897",590,19711000,33408.4745762712
"28501",7540,251250000,33322.2811671088
"27203",8910,295907000,33210.6621773288
"28508",1050,34667000,33016.1904761905
"27869",830,27337000,32936.1445783133
"27563",1820,59902000,32913.1868131868
"27824",510,16761000,32864.7058823529
"28333",4730,153874000,32531.5010570825
"28377",4370,142094000,32515.7894736842
"28369",860,27895000,32436.0465116279
"28726",1470,47627000,32399.3197278912
"27405",20280,656498000,32371.6962524655
"28383",2750,88664000,32241.4545454545
"28343",600,19241000,32068.3333333333
"28340",3790,120959000,31915.3034300792
"28364",4780,152555000,31915.2719665272
"28543",1680,53395000,31782.7380952381
"28453",1450,46020000,31737.9310344828
"27849",640,20248000,31637.5
"27917",300,9455000,31516.6666666667
"28464",980,30843000,31472.4489795918
"27823",2990,93945000,31419.7324414716
"27844",1100,34490000,31354.5454545455
"27831",1160,36184000,31193.1034482759
"28160",1480,45812000,30954.0540540541
"28212",18350,560295000,30533.7874659401
"27821",150,4557000,30380
"28301",6380,191928000,30082.7586206897
"27229",1880,55761000,29660.1063829787
"27801",7910,233350000,29500.6321112516
"28544",2270,66657000,29364.3171806167
"28386",2140,62118000,29027.1028037383
"27105",16740,485179000,28983.2138590203
"28347",410,11859000,28924.3902439024
"28208",17110,494503000,28901.4026884863
"28206",5620,160670000,28588.9679715302
"28119",1090,30627000,28098.1651376147
"27260",9890,267914000,27089.3832153691
"27847",330,8919000,27027.2727272727
"28452",320,8520000,26625
